,0,1,infos,street,geocoded
0,5390,"(['PAGE TITLE: NWÜ Security', ['./impressum/datenschutz.php'], None], 'Postfach 20 04 44 40102 Düsseldorf')","['PAGE TITLE: NWÜ Security', ['./impressum/datenschutz.php'], None]",Postfach 20 04 44 40102 Düsseldorf,"[51.27476, 6.79986]"
1,5391,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
2,5392,"(['PAGE TITLE: Profil sucht Sie als Proband', ['https://www.profil.de/impressum#first'], None], 'NO!')","['PAGE TITLE: Profil sucht Sie als Proband', ['https://www.profil.de/impressum#first'], None]",NO!,"[51.27476, 6.79986]"
3,5393,"(['2018 Toshiba Corporation', ['http://www.toshiba.de/generic/impressum-de/'], None], 'NO!')","['2018 Toshiba Corporation', ['http://www.toshiba.de/generic/impressum-de/'], None]",NO!,"[51.27476, 6.79986]"
4,5394,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
5,5395,"(['Copyright  - Zülow - Enfold Theme by Kriesi', ['/impressum/'], None], 'NO!')","['Copyright  - Zülow - Enfold Theme by Kriesi', ['/impressum/'], None]",NO!,"[51.27476, 6.79986]"
6,5396,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
7,5397,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
8,5398,"(['2009-2018 Garlock Family of Companies, All Rights Reserved.Garlock is an EnPro Industries, Inc. (NYSE: NPO) Company.       ', [None], None], None)","['2009-2018 Garlock Family of Companies, All Rights Reserved.Garlock is an EnPro Industries, Inc. (NYSE: NPO) Company.       ', [None], None]",,"[-1.0, -1.0]"
9,5399,"(['Hager & Meisinger GmbH 2018', ['https://www.meisinger.de/impressum/'], None], 'NO!')","['Hager & Meisinger GmbH 2018', ['https://www.meisinger.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
10,5400,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
11,5401,"(['2015 Swedex GmbH Industrieprodukte', [None], None], None)","['2015 Swedex GmbH Industrieprodukte', [None], None]",,"[-1.0, -1.0]"
12,5402,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
13,5403,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
14,5404,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
15,5405,"(['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None], 'NO!')","['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None]",NO!,"[51.27476, 6.79986]"
16,5406,"(['PAGE TITLE: Albrecht GmbH – Das Bauunternehmen aus Grevenbroich für Tankstellen, Waschanlagen, Industrieanlagen und Abscheidersanierung', ['kontakt/impressum.html'], None], 'NO!')","['PAGE TITLE: Albrecht GmbH – Das Bauunternehmen aus Grevenbroich für Tankstellen, Waschanlagen, Industrieanlagen und Abscheidersanierung', ['kontakt/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
17,5407,"(['PAGE TITLE: EGN Entsorgungsgesellschaft Niederrhein mbH', ['siteservice/impressum/'], None], 'Greefsallee 1-5 41747 Viersen')","['PAGE TITLE: EGN Entsorgungsgesellschaft Niederrhein mbH', ['siteservice/impressum/'], None]",Greefsallee 1-5 41747 Viersen,"[51.27476, 6.79986]"
18,5408,"(['PAGE TITLE: Baustelle...', [None], None], None)","['PAGE TITLE: Baustelle...', [None], None]",,"[-1.0, -1.0]"
19,5409,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
