,0,1,infos,street,geocoded
0,9702,"(['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None], 'NO!')","['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None]",NO!,"[51.27476, 6.79986]"
1,9703,"(['PAGE TITLE: ...', [None], None], None)","['PAGE TITLE: ...', [None], None]",,"[-1.0, -1.0]"
2,9704,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
3,9705,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
4,9706,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
5,9707,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
6,9708,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
7,9709,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
8,9710,"(['2018 VACUFLEX GmbH', ['/impressum/'], None], 'Hessenring 8-12 64546 Moerfelden-Walldorf')","['2018 VACUFLEX GmbH', ['/impressum/'], None]",Hessenring 8-12 64546 Moerfelden-Walldorf,"[51.27476, 6.79986]"
9,9711,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
10,9712,"(['2017 Zement- und Kalkwerke OTTERBEIN. | Impressum | Datenschutzerklärung ', ['/impressum'], None], 'NO!')","['2017 Zement- und Kalkwerke OTTERBEIN. | Impressum | Datenschutzerklärung ', ['/impressum'], None]",NO!,"[51.27476, 6.79986]"
11,9713,"(['2014. Alle Rechte vorbehalten.', ['/index.php/impressum'], None], 'NO!')","['2014. Alle Rechte vorbehalten.', ['/index.php/impressum'], None]",NO!,"[51.27476, 6.79986]"
12,9714,"(['PAGE TITLE: KGM Kugelfabrik ', ['https://www.kgm-kugeln.de/ueber-kgm/kontakt-impressum'], None], 'Johannisstraße 35 36041 Fulda')","['PAGE TITLE: KGM Kugelfabrik ', ['https://www.kgm-kugeln.de/ueber-kgm/kontakt-impressum'], None]",Johannisstraße 35 36041 Fulda,"[51.27476, 6.79986]"
13,9715,"(['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None], 'NO!')","['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None]",NO!,"[51.27476, 6.79986]"
14,9716,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
15,9717,"(['2017 ECONO-CUT GmbH', ['http://econocut.eu/impressum/'], None], 'NO!')","['2017 ECONO-CUT GmbH', ['http://econocut.eu/impressum/'], None]",NO!,"[51.27476, 6.79986]"
16,9718,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
17,9719,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
18,9720,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
19,9721,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
20,9722,"(['WÜRZ UNTERNEHMENSGRUPPE - ALLE RECHTE VORBEHALTEN -\xa0ALL RIGHTS RESERVED', ['/impressum'], None], 'Am Schützenhaus 3 35759 Driedorf-Mademühlen')","['WÜRZ UNTERNEHMENSGRUPPE - ALLE RECHTE VORBEHALTEN -\xa0ALL RIGHTS RESERVED', ['/impressum'], None]",Am Schützenhaus 3 35759 Driedorf-Mademühlen,"[51.27476, 6.79986]"
21,9723,"(['PAGE TITLE: SMT Bestückung & Fertigung – MEC Elektronische Komponenten GmbH', ['https://www.mec-elektronik.de/impressum/'], None], 'NO!')","['PAGE TITLE: SMT Bestückung & Fertigung – MEC Elektronische Komponenten GmbH', ['https://www.mec-elektronik.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
22,9724,"(['PAGE TITLE: Alpha', [None], None], None)","['PAGE TITLE: Alpha', [None], None]",,"[-1.0, -1.0]"
23,9725,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
24,9726,"(['PAGE TITLE: Startseite\xa0', ['impressum.html'], None], 'Neckarsteinacher Straße 88 69434 Hirschhorn/Neckar · Deutschland')","['PAGE TITLE: Startseite\xa0', ['impressum.html'], None]",Neckarsteinacher Straße 88 69434 Hirschhorn/Neckar · Deutschland,"[51.27476, 6.79986]"
25,9727,"(['PAGE TITLE: Home - ProxiVision GmbH', [None], None], None)","['PAGE TITLE: Home - ProxiVision GmbH', [None], None]",,"[-1.0, -1.0]"
26,9728,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
27,9729,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
28,9730,"(['PAGE TITLE: EMW filtertechnik', ['/de/impressum.html'], None], 'NO!')","['PAGE TITLE: EMW filtertechnik', ['/de/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
29,9731,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
30,9732,"(['PAGE TITLE: Startseite\xa0- Kelviplast', ['https://www.kelviplast.de/service-kontakt/impressum.html'], None], 'NO!')","['PAGE TITLE: Startseite\xa0- Kelviplast', ['https://www.kelviplast.de/service-kontakt/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
31,9733,"(['PAGE TITLE: Startseite', ['/de/meta/impressum.html'], None], 'Siemensstraße 2 67304 Eisenberg - Germany')","['PAGE TITLE: Startseite', ['/de/meta/impressum.html'], None]",Siemensstraße 2 67304 Eisenberg - Germany,"[51.27476, 6.79986]"
32,9734,"(['PAGE TITLE: REFORM', ['http://www.reform.de/cms/impressum.html'], None], 'NO!')","['PAGE TITLE: REFORM', ['http://www.reform.de/cms/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
33,9735,"(['2015 Isomark.de', ['http://isomark.de/index/kontakt/impressum/'], None], 'NO!')","['2015 Isomark.de', ['http://isomark.de/index/kontakt/impressum/'], None]",NO!,"[51.27476, 6.79986]"
34,9736,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
35,9737,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
36,9738,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
37,9739,"(['PAGE TITLE: Wagner Fahrzeugteile — Ihr zuverlässiger Partner für Automobilteile', ['impressum.html'], None], 'NO!')","['PAGE TITLE: Wagner Fahrzeugteile — Ihr zuverlässiger Partner für Automobilteile', ['impressum.html'], None]",NO!,"[51.27476, 6.79986]"
38,9740,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
39,9741,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
40,9742,"(['PAGE TITLE: CEKA Büromöbel, Büroeinrichtung, Schreibtische, Schreibtische höhenverstellbar, ergonomischer Arbeitsplatz, Vitalpaket, Rollcontainer, Regale, Büroeinrichtungen und mehr...', ['https://www.ceka.de/impressum.html'], None], 'NO!')","['PAGE TITLE: CEKA Büromöbel, Büroeinrichtung, Schreibtische, Schreibtische höhenverstellbar, ergonomischer Arbeitsplatz, Vitalpaket, Rollcontainer, Regale, Büroeinrichtungen und mehr...', ['https://www.ceka.de/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
41,9743,"(['Jakob Maul GmbH, Jakob-Maul-Str. 17, 64732 Bad König, Deutschland', ['/office/de/info/kontakt/impressum/'], None], 'NO!')","['Jakob Maul GmbH, Jakob-Maul-Str. 17, 64732 Bad König, Deutschland', ['/office/de/info/kontakt/impressum/'], None]",NO!,"[51.27476, 6.79986]"
42,9744,"(['PAGE TITLE: Breidenbach', [None], None], None)","['PAGE TITLE: Breidenbach', [None], None]",,"[-1.0, -1.0]"
43,9745,"(['PAGE TITLE: QSC AG', [None], None], None)","['PAGE TITLE: QSC AG', [None], None]",,"[-1.0, -1.0]"
44,9746,"(['PAGE TITLE: Reinecker Vision GmbH \xa0', ['impressum/'], None], 'Sandwiesenstraße 19 64665 Alsbach-Hähnlein')","['PAGE TITLE: Reinecker Vision GmbH \xa0', ['impressum/'], None]",Sandwiesenstraße 19 64665 Alsbach-Hähnlein,"[51.27476, 6.79986]"
45,9747,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
46,9748,"(['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None], 'NO!')","['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None]",NO!,"[51.27476, 6.79986]"
47,9749,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
48,9750,"(['Beinbrech GmbH & Co. KG 2016 \xa0Home\xa0|\xa0Kontakt\xa0|\xa0Impressum\xa0|\xa0Datenschutz\xa0|\xa0Datenschutzerklärung\xa0|\xa0Nutzungsbedingungen\xa0|\xa0AGB Beinbrech GmbH & Co. KG', ['https://www.beinbrech.de/impressum.html'], None], 'NO!')","['Beinbrech GmbH & Co. KG 2016 \xa0Home\xa0|\xa0Kontakt\xa0|\xa0Impressum\xa0|\xa0Datenschutz\xa0|\xa0Datenschutzerklärung\xa0|\xa0Nutzungsbedingungen\xa0|\xa0AGB Beinbrech GmbH & Co. KG', ['https://www.beinbrech.de/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
49,9751,"(['PAGE TITLE: KangaROOS', ['https://www.kangaroos.de/impressum/'], None], 'NO!')","['PAGE TITLE: KangaROOS', ['https://www.kangaroos.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
50,9752,"(['2018 Biergrossvertrieb Hans Gross GmbH & Co. KG', ['impressum'], None], 'Franz-Meguin-Straße 34 D-66763 Dillingen')","['2018 Biergrossvertrieb Hans Gross GmbH & Co. KG', ['impressum'], None]",Franz-Meguin-Straße 34 D-66763 Dillingen,"[51.27476, 6.79986]"
51,9753,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
52,9754,"(['PAGE TITLE: Cl. Bergmann - Der Großhandel für Haustechnik', ['./impressum.html'], None], 'Falderbaumstr. 33 34123 Kassel')","['PAGE TITLE: Cl. Bergmann - Der Großhandel für Haustechnik', ['./impressum.html'], None]",Falderbaumstr. 33 34123 Kassel,"[51.27476, 6.79986]"
53,9755,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
54,9756,"(['2018\xa0ELO-Stahlwaren\xa0·\xa0Karl Grünewald & Sohn GmbH & Co. KG. Alle Rechte vorbehalten.Bei Facebook teilenAuf Youtube folgen', ['/de/impressum.html'], None], 'Karl Grünewald & Sohn GmbH & Co. KG Dalberger Straße 20 · D-55595 Spabrücken · Germany')","['2018\xa0ELO-Stahlwaren\xa0·\xa0Karl Grünewald & Sohn GmbH & Co. KG. Alle Rechte vorbehalten.Bei Facebook teilenAuf Youtube folgen', ['/de/impressum.html'], None]",Karl Grünewald & Sohn GmbH & Co. KG Dalberger Straße 20 · D-55595 Spabrücken · Germany,"[51.27476, 6.79986]"
55,9757,"(['2018 Hommel Hercules Werkzeughandel\r', [None], None], None)","['2018 Hommel Hercules Werkzeughandel\r', [None], None]",,"[-1.0, -1.0]"
56,9758,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
57,9759,"(['2016 sg-solutions Internetlösungen', ['/index.php/impressum'], None], 'NO!')","['2016 sg-solutions Internetlösungen', ['/index.php/impressum'], None]",NO!,"[51.27476, 6.79986]"
58,9760,"(['Copyright\xa02018\xa0Peppler GmbH\r', [None], None], None)","['Copyright\xa02018\xa0Peppler GmbH\r', [None], None]",,"[-1.0, -1.0]"
59,9761,"(['2018 Pressevertrieb Saar GmbH & Co. KG ', ['/impressum'], None], 'NO!')","['2018 Pressevertrieb Saar GmbH & Co. KG ', ['/impressum'], None]",NO!,"[51.27476, 6.79986]"
60,9762,"(['PAGE TITLE: Startseite', ['/komponenten/impressum-und-agb/impressum/'], None], 'Ständeplatz 1-3 34117 Kassel')","['PAGE TITLE: Startseite', ['/komponenten/impressum-und-agb/impressum/'], None]",Ständeplatz 1-3 34117 Kassel,"[51.27476, 6.79986]"
61,9763,"(['2018 - Schwabfrucht GmbH & Co. KG, Kasseler Straße 3, 35418 Buseck ', ['impressum.html'], None], 'Kasseler Straße 3 35418 Buseck')","['2018 - Schwabfrucht GmbH & Co. KG, Kasseler Straße 3, 35418 Buseck ', ['impressum.html'], None]",Kasseler Straße 3 35418 Buseck,"[51.27476, 6.79986]"
