,0,1,infos,street,geocoded
0,1078,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
1,1079,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
2,1080,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
3,1081,"(['2018 MAHA Maschinenbau Haldenwang GmbH & Co. KG', ['impressum.htm'], None], 'Hoyen 20 87490 Haldenwang · Germany')","['2018 MAHA Maschinenbau Haldenwang GmbH & Co. KG', ['impressum.htm'], None]",Hoyen 20 87490 Haldenwang · Germany,"[51.27476, 6.79986]"
4,1082,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
5,1083,"(['PAGE TITLE: Automatisierungstechnik und Industrieautomation ', ['/impressum.html'], None], 'In der Seugn 10 92431 Neunburg vorm Wald')","['PAGE TITLE: Automatisierungstechnik und Industrieautomation ', ['/impressum.html'], None]",In der Seugn 10 92431 Neunburg vorm Wald,"[51.27476, 6.79986]"
6,1084,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
7,1085,"(['PAGE TITLE: HZDR – Helmholtz-Zentrum Dresden-Rossendorf', [None], None], None)","['PAGE TITLE: HZDR – Helmholtz-Zentrum Dresden-Rossendorf', [None], None]",,"[-1.0, -1.0]"
8,1086,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
9,1087,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
10,1088,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
11,1089,"(['2018 Helmholtz-Zentrum für Infektionsforschung GmbH', ['de/service/impressum/'], None], 'Helmholtz-Zentrum für Infektionsforschung GmbH (HZI) Inhoffenstraße 7 | 38124 Braunschweig')","['2018 Helmholtz-Zentrum für Infektionsforschung GmbH', ['de/service/impressum/'], None]",Helmholtz-Zentrum für Infektionsforschung GmbH (HZI) Inhoffenstraße 7 | 38124 Braunschweig,"[51.27476, 6.79986]"
12,1090,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
13,1091,"(['2018 Steiff Retail GmbH | Alle Preise inkl. gesetzl. MwSt., zzgl. 4,95 € Versandkosten.\r', ['https://www.steiff.com/de-de/impressum/'], None], 'NO!')","['2018 Steiff Retail GmbH | Alle Preise inkl. gesetzl. MwSt., zzgl. 4,95 € Versandkosten.\r', ['https://www.steiff.com/de-de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
14,1092,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
15,1093,"(['PAGE TITLE: Willkommen bei der Lambertz-Gruppe', ['https://www.lambertz.de/impressum-datenschutz/'], None], 'NO!')","['PAGE TITLE: Willkommen bei der Lambertz-Gruppe', ['https://www.lambertz.de/impressum-datenschutz/'], None]",NO!,"[51.27476, 6.79986]"
16,1094,"(['2018\xa0by ALDI SÜD', ['https://www.aldi-sued.de/de/impressum/'], None], 'NO!')","['2018\xa0by ALDI SÜD', ['https://www.aldi-sued.de/de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
17,1095,"(['PAGE TITLE: Untitled', [None], None], None)","['PAGE TITLE: Untitled', [None], None]",,"[-1.0, -1.0]"
