67,"(['2013\xa0\xa0\xa0Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gemeinnützige GmbH', ['globale-seiten/impressum/'], None], 'Infanteriestraße 8 80797 München')"
68,"(['PAGE TITLE: Sie werden weitergeleitet...', [None], None], None)"
69,"(['PAGE TITLE: Parallels Plesk Automation', [None], None], None)"
70,"([None, None, None], None)"
71,"([None, None, None], None)"
72,"([None, None, None], None)"
73,"(['PAGE TITLE: Gutmann, Gartner Extrusion & Nordalu Aluminiumprodukte der GUTMANN Group', ['/de/gutmann-gruppe/impressum.html'], None], 'NO!')"
74,"(['PAGE TITLE: Kulmbacher Edelherb ', ['http://www3.kulmbacher.de/impressum/'], None], 'Lichtenfelser Straße 9 95326 Kulmbach')"
75,"(['PAGE TITLE: Evangelisches Krankenhaus Göttingen-Weende: Home ', ['kontakt/impressum/'], None], 'An der Lutter 24 37075 Göttingen')"
76,"(['PAGE TITLE: Home\xa0', ['impressum/'], None], 'Arabellastraße 4 D-81925 München')"
77,"(['PAGE TITLE: RMK - Startseite', ['impressum.html'], None], 'Am Jakobsweg 1 71364 Winnenden')"
78,"(['AstraZeneca 2018', ['/impressum.html'], None], 'Tinsdaler Weg 183, 22880 Wedel')"
79,"([None, None, None], None)"
80,"(['PAGE TITLE: konsoleH :: Login', ['http://www.hetzner.de/hosting/legal/impressum'], None], 'NO!')"
81,"([None, None, None], None)"
82,"(['PAGE TITLE: Service', [None], None], None)"
83,"(['PAGE TITLE: Sanacorp - Wir handeln', ['/content/de/wichtiges/impressum.jsp'], None], 'Semmelweisstraße 4 82152 Planegg')"
84,"(['PAGE TITLE: GISA GmbH - IT-Komplettdienstleister. Beratung, Betreuung, Betrieb.', ['/impressum/'], None], 'Leipziger Chaussee 191A 06112 Halle (Saale)')"
85,"([None, None, None], None)"
86,"(['PAGE TITLE: NULL ZU JUNG. 100% VOLLJÄHRIG. I OETTINGER Brauerei', [None], None], None)"
87,"([None, None, None], None)"
88,"([None, None, None], None)"
89,"(['PAGE TITLE: Simmel · Schon der Einkauf ein Genuss', ['impressum'], None], 'Chemnitzer Straße 105 D-09224 Grüna')"
90,"(['elexis AG 2017', ['/impressum/'], None], 'Industriestr. 1 57482 Wenden')"
91,"(['Johnson & Johnson GmbH\xa02002 -\xa02018Letzte Änderung am\xa011.10.2018   ', ['disclaimer/impressum.html'], None], 'Johnson & Johnson Platz 2 (Raiffeisenstraße 9) 41470 Neuss')"
92,"(['PAGE TITLE: Strom, Erdgas, Internet, Mobilfunk aus einer Hand ', ['/impressum'], None], 'Tirpitzstraße 39 26122 Oldenburg')"
93,"(['Evangelische Brüder-Unität - Herrnhuter Brüdergemeine][Weitere Informationen finden sie hier]\t', ['kontakt-und-service/impressum/'], None], 'NO!')"
94,"(['2018 HSBC Trinkaus & Burkhardt AG', [None], None], None)"
95,"([None, None, None], None)"
96,"([None, None, None], None)"
97,"(['', [None], None], None)"
98,"([None, None, None], None)"
99,"(['PAGE TITLE: HUECK Aluminium Systems - Fenster, Türen- und Fassadensysteme, doors, windows and facade systems', [None], None], None)"
100,"([None, None, None], None)"
101,"(['PAGE TITLE: SCHUFA - Wir schaffen Vertrauen', ['/de/impressum/'], None], 'NO!')"
102,"(['Copyright   Datenschutz   Impressum   Kontakt   Sitemap                        ', ['footer-navigation/impressum/'], None], 'Franz-Haniel-Platz 1 47119 Duisburg')"
103,"([None, None, None], None)"
104,"([None, None, None], None)"
105,"([None, None, None], None)"
106,"([None, None, None], None)"
107,"([None, None, None], None)"
108,"(['2018 Cargill Deutschland GmbH. Alle Rechte vorbehalten.', ['https://www.cargill.de/de/impressum'], None], 'NO!')"
109,"(['PAGE TITLE: BENTELER Corporate (de) - BENTELER International AG', ['/de/impressum/'], None], 'NO!')"
110,"([None, None, None], None)"
111,"(['PAGE TITLE: Stadtwerke-Bonn: Startseite', ['https://www.swb-konzern.de/impressum.html'], None], 'NO!')"
112,"([None, None, None], None)"
113,"(['PAGE TITLE: Median Kliniken - Spezialist für Rehabilitation ', ['https://www.median-kliniken.de/de/impressum/'], None], 'Franklinstraße 28-29 10587 Berlin')"
114,"([None, None, None], None)"
115,"(['2018 Pfizer Deutschland GmbH. All rights reserved. Mitglied im Verband der forschenden Pharma-Unternehmen und im Verein Freiwillige Selbstkontrolle für die Arzneimittelindustrie e.V.', ['/footer/impressum/'], None], 'Linkstraße 10 10785 Berlin')"
116,"([None, None, None], None)"
117,"(['PAGE TITLE: ALSO Deutschland - ALSO', [None], None], None)"
118,"([None, None, None], None)"
119,"([None, None, None], None)"
120,"(['PAGE TITLE:  Deutscher Ärzteverlag GmbH', ['impressum/'], None], 'NO!')"
121,"(['PAGE TITLE: Home - Canon Deutschland', [None], None], None)"
122,"([None, None, None], None)"
123,"([None, None, None], None)"
124,"(['Nicola Eccher', ['https://www.national-bank.de/navigation-footer/impressum/'], None], 'NO!')"
125,"(['PAGE TITLE:  Startseite – Schwäbisch Hall Facility Management\n', ['/impressum.html'], None], 'Crailsheimer Straße 52 74523 Schwäbisch Hall')"
126,"(['PAGE TITLE: Autohaus Wolfsburg', ['kontakt/impressum/'], None], 'NO!')"
127,"([None, None, None], None)"
128,"([None, None, None], None)"
129,"(['PAGE TITLE: Pizzagenuss aus der Tiefkühltruhe - Original Wagner', ['/impressum'], None], 'NO!')"
130,"(['PAGE TITLE: Kaiserswerther Diakonie Düsseldorf (KWD)', ['de/impressum.html'], None], 'Alte Landstraße 179 40489 Düsseldorf')"
131,"([' Bertelsmann SE & Co KGaA', ['/meta/impressum/'], None], 'Carl-Bertelsmann-Straße 270 33311 Gütersloh')"
132,"([None, None, None], None)"
133,"([None, None, None], None)"
134,"([None, None, None], None)"
135,"([None, None, None], None)"
136,"(['Copyright 2015 HORNBACH Holding AG & Co. KGaA', ['/de/impressum.html'], None], 'NO!')"
137,"([None, None, None], None)"
138,"(['2018 St. Vincenz-Krankenhaus GmbH', ['weitere-informationen/impressum/'], None], 'NO!')"
139,"(['2016 Flensburger Schiffbau-Gesellschaft mbH & Co. KG', [None], None], None)"
140,"(['2018 Bogestra AG', ['meta-navigation/impressum.html'], None], 'Universitätsstraße 58 44789 Bochum')"
141,"([None, None, None], None)"
142,"([None, None, None], None)"
143,"(['OLB 2018', ['/informationen/impressum/'], None], 'Stau 15/17 26122 Oldenburg')"
144,"([None, None, None], None)"
145,"(['2018 Novo Nordisk Pharma GmbH', ['/impressum.html'], None], 'Brucknerstraße 1 D-55127 Mainz')"
146,"([None, None, None], None)"
147,"(['2018 BORBET GmbH \r', [None], None], None)"
148,"(['Bayer AG', ['/de/impressum.aspx'], None], 'Kaiser-Wilhelm-Allee 1 51373 Leverkusen, Deutschland')"
149,"(['PAGE TITLE: Domainname nicht verfügbar / Domain not available', [None], None], None)"
150,"(['PAGE TITLE: Klinikum Westfalen', [None], None], None)"
151,"(['PAGE TITLE: \n      Default PLESK Page\n    ', [None], None], None)"
152,"(['PAGE TITLE: \n\t\t\t\n            Ihr Experte für Rechtsschutz-Fragen ', ['impressum/impressum.html'], None], 'ROLAND Rechtsschutz-Versicherungs-AG Deutz-Kalker Straße 46 · 50679 Köln')"
153,"(['2003-2018 HSH Nordbank', ['/de/footer/impressum/impressum/'], None], 'Gerhart-Hauptmann-Platz 50 20095 Hamburg')"
154,"([None, None, None], None)"
155,"(['Stockheim GmbH & Co. KG', [None], None], None)"
156,"([None, None, None], None)"
157,"(['SLK-Kliniken Heilbronn GmbH | Impressum | DatenschutzDie SLK-Kliniken entwickeln sich kontinuierlich weiter. Informationen zu unseren Bau- und Zukunftsprojekten finde Sie im Portal Gesund in die Zukunft!', ['/servicenavigation/impressum/'], None], 'Am Gesundbrunnen 20-26 D-74078 Heilbronn')"
158,"(['2018 Gothaer Versicherungen', ['/ueber-uns/rechtliche-informationen/impressum/'], None], 'Arnoldiplatz 1 50969 Köln')"
159,"([None, None, None], None)"
160,"([None, None, None], None)"
161,"(['2014 imland gGmbH', ['https://www.imland.de/impressum'], None], 'NO!')"
162,"(['PAGE TITLE: Westag Händlersuche', [None], None], None)"
163,"([None, None, None], None)"
164,"([None, None, None], None)"
165,"([None, None, None], None)"
