,0,1,infos,street,geocoded
0,6468,"(['PAGE TITLE: \n[RP-Verpackung - Ihr Verpackungslieferant für Papier- und Plastiktragetaschen]', [None], None], None)","['PAGE TITLE: \n[RP-Verpackung - Ihr Verpackungslieferant für Papier- und Plastiktragetaschen]', [None], None]",,"[-1.0, -1.0]"
1,6469,"([""PAGE TITLE: Web Server's Default Page"", [None], None], None)","[""PAGE TITLE: Web Server's Default Page"", [None], None]",,"[-1.0, -1.0]"
2,6470,"(['2018 C&T Vertriebs GmbH | Ticketsystem - All rights reserved.', ['https://c-t.de/impressum/'], None], 'NO!')","['2018 C&T Vertriebs GmbH | Ticketsystem - All rights reserved.', ['https://c-t.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
3,6471,"(['2018 Vetter GmbH \xa0\xa0   A Unit of IDEX Corporation  Impressum | Datenschutz\xa0\xa0\xa0\xa0\xa0\xa0DeutschEnglishEspaniol', ['http://www.vetter.de/de/impressum.html'], None], 'Blatzheimer Str. 10 - 12 D-53909 Zülpich')","['2018 Vetter GmbH \xa0\xa0   A Unit of IDEX Corporation  Impressum | Datenschutz\xa0\xa0\xa0\xa0\xa0\xa0DeutschEnglishEspaniol', ['http://www.vetter.de/de/impressum.html'], None]",Blatzheimer Str. 10 - 12 D-53909 Zülpich,"[51.27476, 6.79986]"
4,6472,"(['2018 Bäckerei und Konditorei VoigtImpressumJobsKontaktDatenschutzIch bin eine Website-Flat der Marketingflotte.  Made with ♥ in the Ahrtal!    FilialfinderStartseiteBackwarenBrötchenBroteFeingebäckKaffeeKuchenSnacksKarriereMitarbeiter StoryAnsprechpartnerAusbildungOffene StellenFilialenUnternehmenÜber unsKundenkarteGutscheinPresseKontakt <div data-borlabs-cookie-wrap=""popup"">', ['https://www.baeckerei-voigt.de/impressum/'], None], 'NO!')","['2018 Bäckerei und Konditorei VoigtImpressumJobsKontaktDatenschutzIch bin eine Website-Flat der Marketingflotte.  Made with ♥ in the Ahrtal!    FilialfinderStartseiteBackwarenBrötchenBroteFeingebäckKaffeeKuchenSnacksKarriereMitarbeiter StoryAnsprechpartnerAusbildungOffene StellenFilialenUnternehmenÜber unsKundenkarteGutscheinPresseKontakt <div data-borlabs-cookie-wrap=""popup"">', ['https://www.baeckerei-voigt.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
5,6473,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
6,6474,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
7,6475,"(['PAGE TITLE: DuoTherm Rolladen', ['https://www.duotherm-rolladen.de/service/impressum/'], None], 'NO!')","['PAGE TITLE: DuoTherm Rolladen', ['https://www.duotherm-rolladen.de/service/impressum/'], None]",NO!,"[51.27476, 6.79986]"
8,6476,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
9,6477,"(['PAGE TITLE: BLH: Home', ['de/impressum.html'], None], 'Johann-Philipp-Reis-Straße 1 54293 Trier')","['PAGE TITLE: BLH: Home', ['de/impressum.html'], None]",Johann-Philipp-Reis-Straße 1 54293 Trier,"[51.27476, 6.79986]"
10,6478,"(['2018 Elektro Bloeck - Elektrotechnisches Unternehmen · ', ['http://elektro-bloeck.de/impressum/'], None], 'NO!')","['2018 Elektro Bloeck - Elektrotechnisches Unternehmen · ', ['http://elektro-bloeck.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
11,6479,"([' Foto: Bistum Trier\r', ['/footer/impressum/bildquellen/'], None], 'NO!')","[' Foto: Bistum Trier\r', ['/footer/impressum/bildquellen/'], None]",NO!,"[51.27476, 6.79986]"
