,0,1,infos,street,geocoded
0,3234,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
1,3235,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
2,3236,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
3,3237,"(['PAGE TITLE: Startseite', ['/index.php/impressum'], None], 'NO!')","['PAGE TITLE: Startseite', ['/index.php/impressum'], None]",NO!,"[51.27476, 6.79986]"
4,3238,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
5,3239,"(['PAGE TITLE: Clean up GmbH', [None], None], None)","['PAGE TITLE: Clean up GmbH', [None], None]",,"[-1.0, -1.0]"
6,3240,"(['PAGE TITLE: IMO INDUSTRIEMONTAGEN GMBH', ['impressum/impressum.htm'], None], 'NO!')","['PAGE TITLE: IMO INDUSTRIEMONTAGEN GMBH', ['impressum/impressum.htm'], None]",NO!,"[51.27476, 6.79986]"
7,3241,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
8,3242,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
9,3243,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
10,3244,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
11,3245,"(['2018 VOLKSSOLIDARITÄT Saale-Kyffhäuser e.V.', ['impressum.php'], None], 'Fliederweg 7 06268 Querfurt')","['2018 VOLKSSOLIDARITÄT Saale-Kyffhäuser e.V.', ['impressum.php'], None]",Fliederweg 7 06268 Querfurt,"[51.27476, 6.79986]"
12,3246,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
13,3247,"(['', ['https://www.bth-bildung.de/impressumdatenschutz/'], None], 'NO!')","['', ['https://www.bth-bildung.de/impressumdatenschutz/'], None]",NO!,"[51.27476, 6.79986]"
14,3248,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
15,3249,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
16,3250,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
17,3251,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
18,3252,"(['PAGE TITLE: ServControl - Die Seite wurde nicht gefunden', [None], None], None)","['PAGE TITLE: ServControl - Die Seite wurde nicht gefunden', [None], None]",,"[-1.0, -1.0]"
19,3253,"(['PAGE TITLE: AMEOS Klinikum Bernburg', ['standorte/ameos-ost/bernburg/ameos-klinikum-bernburg/impressum/'], None], 'NO!')","['PAGE TITLE: AMEOS Klinikum Bernburg', ['standorte/ameos-ost/bernburg/ameos-klinikum-bernburg/impressum/'], None]",NO!,"[51.27476, 6.79986]"
20,3254,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
21,3255,"(['', ['impressum.html'], None], 'NO!')","['', ['impressum.html'], None]",NO!,"[51.27476, 6.79986]"
22,3256,"(['PAGE TITLE: Simon Möbel', [None], None], None)","['PAGE TITLE: Simon Möbel', [None], None]",,"[-1.0, -1.0]"
23,3257,"(['PAGE TITLE: Startseite', [None], None], None)","['PAGE TITLE: Startseite', [None], None]",,"[-1.0, -1.0]"
24,3258,"(['PAGE TITLE: Home - Maschinenfabrik Thale GmbH', ['/impressum.html'], None], 'Am Bodeufer 3+4 06502 Thale')","['PAGE TITLE: Home - Maschinenfabrik Thale GmbH', ['/impressum.html'], None]",Am Bodeufer 3+4 06502 Thale,"[51.27476, 6.79986]"
25,3259,"(['Kurock 2015', [None], None], None)","['Kurock 2015', [None], None]",,"[-1.0, -1.0]"
26,3260,"(['PAGE TITLE: Tourist-Information Sangerhausen: Startseite', [None], None], None)","['PAGE TITLE: Tourist-Information Sangerhausen: Startseite', [None], None]",,"[-1.0, -1.0]"
27,3261,"(['2007 Salux VPW Nink GmbH | Am Brandrain 1 | D-06526 Sangerhausen | Impressum', [None], None], None)","['2007 Salux VPW Nink GmbH | Am Brandrain 1 | D-06526 Sangerhausen | Impressum', [None], None]",,"[-1.0, -1.0]"
28,3262,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
29,3263,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
30,3264,"(['PAGE TITLE: Startseite - MUR', ['index.php/impressum.html'], None], 'Dechantengrund 1 06618 Naumburg')","['PAGE TITLE: Startseite - MUR', ['index.php/impressum.html'], None]",Dechantengrund 1 06618 Naumburg,"[51.27476, 6.79986]"
31,3265,"(['PAGE TITLE: Ziehl mewa GmbH - Naumburg, Zuliefer für Büro- und Wohnmöbel', [None], None], None)","['PAGE TITLE: Ziehl mewa GmbH - Naumburg, Zuliefer für Büro- und Wohnmöbel', [None], None]",,"[-1.0, -1.0]"
32,3266,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
33,3267,"(['PAGE TITLE: Fördertechnik Ulf Kecke GmbH', [None], None], None)","['PAGE TITLE: Fördertechnik Ulf Kecke GmbH', [None], None]",,"[-1.0, -1.0]"
34,3268,"(['PAGE TITLE: GeSe GmbH - Reparaturdienstleister und Ersatzteillieferant', ['/unternehmen/information/impressum'], None], 'Gewerbegebiet 1 OT Prittitz 06682 Teuchern')","['PAGE TITLE: GeSe GmbH - Reparaturdienstleister und Ersatzteillieferant', ['/unternehmen/information/impressum'], None]",Gewerbegebiet 1 OT Prittitz 06682 Teuchern,"[51.27476, 6.79986]"
35,3269,"(['2018 Drakena GmbH. Alle Rechte vorbehalten. ', ['https://www.drakena.de/impressum/'], None], 'Tagewerbener Straße 33 06667 Weißenfels')","['2018 Drakena GmbH. Alle Rechte vorbehalten. ', ['https://www.drakena.de/impressum/'], None]",Tagewerbener Straße 33 06667 Weißenfels,"[51.27476, 6.79986]"
36,3270,"(['PAGE TITLE: Hiestro Bau GmbH', ['./html/impressum.html'], None], 'NO!')","['PAGE TITLE: Hiestro Bau GmbH', ['./html/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
37,3271,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
38,3272,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
39,3273,"(['PAGE TITLE: FKT Faßbender GmbH – Experts in Glas Fibre Reinforced Plastic & Pipes', ['https://fkt-gmbh.de/impressum/'], None], 'NO!')","['PAGE TITLE: FKT Faßbender GmbH – Experts in Glas Fibre Reinforced Plastic & Pipes', ['https://fkt-gmbh.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
40,3274,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
41,3275,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
42,3276,"(['018 System-Instandsetzung und Service GmbH            ', ['https://sis-bitterfeld.de/impressum/'], None], 'Elektronstraße 7, Chemiepark Bitterfeld/Wolfen Areal E 06749 Bitterfeld-Wolfen')","['018 System-Instandsetzung und Service GmbH            ', ['https://sis-bitterfeld.de/impressum/'], None]","Elektronstraße 7, Chemiepark Bitterfeld/Wolfen Areal E 06749 Bitterfeld-Wolfen","[51.27476, 6.79986]"
43,3277,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
44,3278,"(['1995 – 2018 ORGANICA Feinchemie GmbH Wolfen', ['/impressum'], None], 'NO!')","['1995 – 2018 ORGANICA Feinchemie GmbH Wolfen', ['/impressum'], None]",NO!,"[51.27476, 6.79986]"
45,3279,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
46,3280,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
47,3281,"(['PAGE TITLE: Startseite', ['impressum/'], None], 'Ferdinand-von-Schill-Str. 8 06844 Dessau-Roßlau')","['PAGE TITLE: Startseite', ['impressum/'], None]",Ferdinand-von-Schill-Str. 8 06844 Dessau-Roßlau,"[51.27476, 6.79986]"
48,3282,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
49,3283,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
50,3284,"(['PAGE TITLE: www.schwiercz.de', [None], None], None)","['PAGE TITLE: www.schwiercz.de', [None], None]",,"[-1.0, -1.0]"
51,3285,"(['Copyright 2018. pidea WERBEAGENTUR GmbH. All rights reserved.\t', ['impressum-111.html'], None], 'NO!')","['Copyright 2018. pidea WERBEAGENTUR GmbH. All rights reserved.\t', ['impressum-111.html'], None]",NO!,"[51.27476, 6.79986]"
52,3286,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
53,3287,"(['Thyrolf & Uhle GmbH Dessau - 2018    ', [None], None], None)","['Thyrolf & Uhle GmbH Dessau - 2018    ', [None], None]",,"[-1.0, -1.0]"
54,3288,"(['2018 SPIE Fleischhauer GmbH |\xa0Impressum\xa0|\xa0Datenschutz\xa0|\xa0Sitemap\xa0|\xa0AGB\xa0|\xa0Glossar\xa0| Drucken', ['/impressum.html'], None], 'Oldenburger Allee 36 30659 Hannover')","['2018 SPIE Fleischhauer GmbH |\xa0Impressum\xa0|\xa0Datenschutz\xa0|\xa0Sitemap\xa0|\xa0AGB\xa0|\xa0Glossar\xa0| Drucken', ['/impressum.html'], None]",Oldenburger Allee 36 30659 Hannover,"[51.27476, 6.79986]"
55,3289,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
56,3290,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
57,3291,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
58,3292,"(['PAGE TITLE: Welcome!', [None], None], None)","['PAGE TITLE: Welcome!', [None], None]",,"[-1.0, -1.0]"
59,3293,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
60,3294,"(['PAGE TITLE: wittenberg-net GmbH - Startseite', [None], None], None)","['PAGE TITLE: wittenberg-net GmbH - Startseite', [None], None]",,"[-1.0, -1.0]"
61,3295,"(['PAGE TITLE: Start ', ['impressum.html'], None], 'NO!')","['PAGE TITLE: Start ', ['impressum.html'], None]",NO!,"[51.27476, 6.79986]"
62,3296,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
63,3297,"(['PAGE TITLE: Reinsdorfer Fleisch- und Wurstwarenmanufaktur Gmbh', ['impressum.html'], None], 'Strandbadstraße 60 06889 Luth. Wittenberg OT Reinsdorf')","['PAGE TITLE: Reinsdorfer Fleisch- und Wurstwarenmanufaktur Gmbh', ['impressum.html'], None]",Strandbadstraße 60 06889 Luth. Wittenberg OT Reinsdorf,"[51.27476, 6.79986]"
64,3298,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
65,3299,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
66,3300,"(['2018 Elster Bau GmbH |', ['/impressum.html'], None], 'NO!')","['2018 Elster Bau GmbH |', ['/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
67,3301,"(['PAGE TITLE: Herzlich Willkommen im Reich der Feen und Bergleute - Feengrotten', ['/Aktuelles-und-Service/kontakt/impressum/'], None], 'Feengrottenweg 2 07318 Saalfeld')","['PAGE TITLE: Herzlich Willkommen im Reich der Feen und Bergleute - Feengrotten', ['/Aktuelles-und-Service/kontakt/impressum/'], None]",Feengrottenweg 2 07318 Saalfeld,"[51.27476, 6.79986]"
68,3302,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
69,3303,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
